"","date","experiment","round","assay","plate","condition","control","strain","row","col","trait","phenotype"
"169","20171009","abamectinNILs",1,"a",13,"DMSO","None","FX3448","C","6","mean.TOF",193.788079470199
"170","20171009","abamectinNILs",1,"a",13,"DMSO","None","FX3518","D","1","mean.TOF",203.296703296703
"171","20171009","abamectinNILs",1,"a",13,"DMSO","None","CB4856","D","12","mean.TOF",255.235537190083
"172","20171009","abamectinNILs",1,"a",13,"DMSO","None","N2","D","2","mean.TOF",253.864541832669
"173","20171009","abamectinNILs",1,"a",13,"DMSO","None","FX3448","D","6","mean.TOF",200.727272727273
"174","20171009","abamectinNILs",1,"a",13,"DMSO","None","FX3518","E","1","mean.TOF",215.481481481481
"175","20171009","abamectinNILs",1,"a",13,"DMSO","None","CB4856","E","12","mean.TOF",282.6472303207
"176","20171009","abamectinNILs",1,"a",13,"DMSO","None","FX3448","E","6","mean.TOF",221.129834254144
"177","20171009","abamectinNILs",1,"a",13,"DMSO","None","CB4856","F","12","mean.TOF",250.04609929078
"178","20171009","abamectinNILs",1,"a",13,"DMSO","None","N2","F","2","mean.TOF",268.377483443709
"179","20171009","abamectinNILs",1,"a",13,"DMSO","None","FX3518","G","1","mean.TOF",192.252873563218
"180","20171009","abamectinNILs",1,"a",13,"DMSO","None","CB4856","G","12","mean.TOF",255.771771771772
"181","20171009","abamectinNILs",1,"a",13,"DMSO","None","N2","G","2","mean.TOF",268.254385964912
"182","20171009","abamectinNILs",1,"a",13,"DMSO","None","FX3448","G","6","mean.TOF",232.465909090909
"183","20171009","abamectinNILs",1,"a",15,"DMSO","None","FX3518","A","1","mean.TOF",200.666666666667
"184","20171009","abamectinNILs",1,"a",15,"DMSO","None","FX3448","A","6","mean.TOF",237.014814814815
"185","20171009","abamectinNILs",1,"a",15,"DMSO","None","FX3518","B","1","mean.TOF",214.778501628664
"186","20171009","abamectinNILs",1,"a",15,"DMSO","None","CB4856","B","12","mean.TOF",251.780141843972
"187","20171009","abamectinNILs",1,"a",15,"DMSO","None","N2","B","2","mean.TOF",269.520190023753
"188","20171009","abamectinNILs",1,"a",15,"DMSO","None","FX3448","B","6","mean.TOF",241.44089456869
"189","20171009","abamectinNILs",1,"a",15,"DMSO","None","CB4856","C","12","mean.TOF",246.70652173913
"190","20171009","abamectinNILs",1,"a",15,"DMSO","None","N2","C","2","mean.TOF",267.561643835616
"191","20171009","abamectinNILs",1,"a",15,"DMSO","None","FX3448","C","6","mean.TOF",238.781690140845
"192","20171009","abamectinNILs",1,"a",15,"DMSO","None","FX3518","D","1","mean.TOF",240.186046511628
"193","20171009","abamectinNILs",1,"a",15,"DMSO","None","CB4856","D","12","mean.TOF",258.449826989619
"194","20171009","abamectinNILs",1,"a",15,"DMSO","None","N2","D","2","mean.TOF",285.939393939394
"195","20171009","abamectinNILs",1,"a",15,"DMSO","None","FX3518","E","1","mean.TOF",228.038461538462
"196","20171009","abamectinNILs",1,"a",15,"DMSO","None","CB4856","E","12","mean.TOF",243.824884792627
"197","20171009","abamectinNILs",1,"a",15,"DMSO","None","N2","E","2","mean.TOF",277.127840909091
"198","20171009","abamectinNILs",1,"a",15,"DMSO","None","FX3448","E","6","mean.TOF",224.080729166667
"199","20171009","abamectinNILs",1,"a",15,"DMSO","None","FX3518","F","1","mean.TOF",224.129682997118
"200","20171009","abamectinNILs",1,"a",15,"DMSO","None","CB4856","F","12","mean.TOF",236.5536159601
"201","20171009","abamectinNILs",1,"a",15,"DMSO","None","N2","F","2","mean.TOF",265.123762376238
"202","20171009","abamectinNILs",1,"a",15,"DMSO","None","FX3448","F","6","mean.TOF",235.41452991453
"203","20171009","abamectinNILs",1,"a",15,"DMSO","None","FX3518","G","1","mean.TOF",237.914798206278
"204","20171009","abamectinNILs",1,"a",15,"DMSO","None","CB4856","G","12","mean.TOF",231.955801104972
"205","20171009","abamectinNILs",1,"a",15,"DMSO","None","N2","G","2","mean.TOF",272.656338028169
